code,parent,label_et
A,,"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK"
10519,1051,"Muude piimatoodete, k.a või tootmine"
1052,105,Jäätise ja muu toidujää tootmine
10521,1052,Jäätise ja muu toidujää tootmine
106,10,"Jahu ja tangainete, tärklise ja tärklisetoodete tootmine"
1061,106,Jahu ja tangainete tootmine
10611,1061,Jahu ja tangainete tootmine
1062,106,Tärklise ja tärklisetoodete tootmine
10621,1062,Tärklise ja tärklisetoodete tootmine
107,10,Pagari- ja makarontoodete tootmine
1071,107,Leivatootmine; lühikese realiseerimisajaga pagaritoodete tootmine
10711,1071,Leiva- ja saiatootmine; lühikese realiseerimisajaga pagaritoodete tootmine
1072,107,"Kuivikute, küpsiste, pika realiseerimisajaga pagaritoodete tootmine"
10721,1072,"Kuivikute, küpsiste, pika realiseerimisajaga pagaritoodete tootmine"
1073,107,Makarontoodete tootmine
10731,1073,Makarontoodete tootmine
108,10,Muude toiduainete tootmine
1081,108,Suhkrutootmine
10811,1081,Suhkrutootmine
1082,108,"Kakao, šokolaadi ja suhkrukondiitritoodete tootmine"
10821,1082,"Kakao, šokolaadi ja suhkrukondiitritoodete tootmine"
1083,108,Tee ja kohvi töötlemine
10831,1083,Tee ja kohvi töötlemine
1084,108,Maitseainete ja -kastmete tootmine
10841,1084,Maitseainete ja -kastmete tootmine
1085,108,Valmistoitude tootmine
10851,1085,Valmistoitude tootmine
1086,108,Homogeenitud toiduainete ja dieettoitude tootmine
10861,1086,Homogeenitud toiduainete ja dieettoitude tootmine
1089,108,Mujal liigitamata toiduainete tootmine
10891,1089,Mujal liigitamata toiduainete tootmine
109,10,Valmis loomasööda tootmine
1091,109,Valmissööda tootmine loomakasvatusele
10911,1091,Valmissööda tootmine loomakasvatusele
1092,109,Lemmikloomade valmistoidu tootmine
10921,1092,Lemmikloomade valmistoidu tootmine
11,C,Joogitootmine
110,11,Joogitootmine
1101,110,"Kange alkoholi destilleerimine, rektifitseerimine ja segamine"
11011,1101,"Kange alkoholi destilleerimine, rektifitseerimine ja segamine"
1102,110,Viinamarjaveini tootmine
11021,1102,Viinamarjaveini tootmine
1103,110,Siidri ja muude marjadest ja puuviljadest kääritatud jookide tootmine
11031,1103,Siidri ja muude marjadest ja puuviljadest kääritatud jookide tootmine
1104,110,Muude destilleerimata kääritatud jookide tootmine
11041,1104,Muude destilleerimata kääritatud jookide tootmine
1105,110,Õlletootmine
11051,1105,Õlletootmine
1106,110,Linnasetootmine
11061,1106,Linnasetootmine
1107,110,Alkoholivaba joogi ja villitud vee tootmine
11071,1107,Alkoholivaba joogi ja villitud vee tootmine
12,C,Tubakatoodete tootmine
120,12,Tubakatoodete tootmine
1200,120,Tubakatoodete tootmine
12001,1200,Tubakatoodete tootmine
13,C,Tekstiilitootmine
131,13,Tekstiilkiudude ettevalmistamine ja ketramine
1310,131,Tekstiilkiudude ettevalmistamine ja ketramine
13101,1310,Tekstiilkiudude ettevalmistamine ja ketramine
132,13,Tekstiilikudumine
1320,132,Tekstiilikudumine
13201,1320,Tekstiilikudumine
133,13,Tekstiili viimistlemine
1330,133,Tekstiili viimistlemine
13301,1330,Tekstiili viimistlemine
139,13,Muu tekstiilitootmine
1391,139,Silmkoe- ja heegelkanga (trikookanga) tootmine
13911,1391,Silmkoe- ja heegelkanga (trikookanga) tootmine
1392,139,Kodutekstiilide ja valmis sisustustarvete tootmine
13921,1392,"Kodutekstiilide, nt voodipesu, rätikute, kardinate jms tootmine"
13929,1392,Muude valmis tekstiiltoodete tootmine
1393,139,Vaipade ja vaipkatete tootmine
13931,1393,Vaipade ja vaipkatete tootmine
1394,139,"Nööri, köie ja võrgulina tootmine"
13941,1394,"Nööri, köie ja võrgulina tootmine"
1395,139,Lausriide ja lausriidest toodete tootmine
13951,1395,Lausriide ja lausriidest toodete tootmine
1396,139,Tehnilise ja tööstusliku otstarbega tekstiilide tootmine
13961,1396,Tehnilise ja tööstusliku otstarbega tekstiilide tootmine
1399,139,Mujal liigitamata tekstiilitootmine
13991,1399,Mujal liigitamata tekstiilitootmine
14,C,Rõivatootmine
141,14,Silmkoe- ja heegelrõivaste tootmine
1410,141,Silmkoe- ja heegelrõivaste tootmine
14101,1410,Silmkoe- ja heegelrõivaste tootmine
142,14,Muude rõivaste ja rõivalisandite tootmine
1421,142,Pealisrõivaste tootmine
14211,1421,Pealisrõivaste tootmine
1422,142,Alusrõivaste tootmine
14221,1422,Alusrõivaste tootmine
1423,142,Töörõivaste tootmine
14231,1423,Töörõivaste tootmine
1424,142,Nahast ja karusnahast rõivaste tootmine
14241,1424,Nahast ja karusnahast rõivaste tootmine
1429,142,Muude mujal liigitamata rõivaste ja rõivalisandite tootmine
14291,1429,"Peakatete valmistamine, k.a karusnahast"
14299,1429,Muude mujal liigitamata rõivaste ja rõivalisandite tootmine
15,C,Nahatöötlemine ning nahktoodete ja muust materjalist toodete tootmine
151,15,"Naha ja karusnaha parkimine, värvimine ja töötlemine; kohvrite, käekottide, sadulsepatoodete ja rakmete tootmine"
1511,151,"Naha ja karusnaha parkimine, töötlemine ja värvimine"
15111,1511,"Naha ja karusnaha parkimine, töötlemine ja värvimine"
1512,151,"Mis tahes materjalist kohvrite, käekottide, sadulsepatoodete ja rakmete tootmine"
15121,1512,"Kohvrite, käekottide jms kaupade tootmine"
15122,1512,"Sadulsepatoodete tootmine (sadulad, hobuserakmed jm)"
15129,1512,Muude nahktoodete ja mistahes materjalist sarnaste toodete tootmine
152,15,Jalatsitootmine
1520,152,Jalatsitootmine
15201,1520,Jalatsitootmine
16,C,"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest vm punumismaterjalist toodete tootmine"
161,16,Puidu saagimine ja hööveldamine; puidu töötlemine ja viimistlemine
1611,161,Puidu saagimine ja hööveldamine
16111,1611,Puidu saagimine ja hööveldamine
1612,161,Puidu töötlemine ja viimistlemine
16121,1612,Puidu töötlemine ja viimistlemine
162,16,"Puidust, korgist, õlest vm punumismaterjalist toodete tootmine"
1621,162,Spooni ja puitplaatide tootmine
16211,1621,Spooni ja vineeri tootmine
16212,1621,Puitlaast- ja puitkiudplaatide tootmine
